type	synonym_id	repository_of_synonym_id	associated_id	domain_description	domain_category	data_location	id	study.id	participant.id	sample.id
synonym	4012589_dbGaP_subject_id	dbGaP_subject_id	4012589	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	8ea8d118-e470-5b99-b9d5-47666c9991fc		951346f3-f945-5b83-8ae7-09dd1e0a10e2	
synonym	4012580_dbGaP_subject_id	dbGaP_subject_id	4012580	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	90b3008d-6615-5b3a-bf5b-540e85fb7fdf		2fe35215-d5ed-531b-bd91-fb2840a45f54	
synonym	5363353_dbGaP_subject_id	dbGaP_subject_id	5363353	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	9405dcb0-0fa2-5a36-873b-0901369926b2			3944442c-61fe-596c-b9cb-7fc52ae77c26
synonym	5363356_dbGaP_subject_id	dbGaP_subject_id	5363356	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	94c7dcad-dcca-59de-b537-c02e7663781d			95fe35ad-228b-522f-9e96-75ec93b20f67
synonym	5363363_dbGaP_subject_id	dbGaP_subject_id	5363363	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	968ca2d6-da27-52d8-bca2-10e077aa3ced			9e4ce4b2-e1f8-5ee4-ad6f-e19b1dc68d6a
synonym	5363333_dbGaP_subject_id	dbGaP_subject_id	5363333	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	9719838f-22c6-5f6b-9fc7-8d9862971033			036347bd-c8ab-5b2a-896d-1cf0252fbf0f
synonym	4012594_dbGaP_subject_id	dbGaP_subject_id	4012594	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	97467acc-a3f7-5767-8d04-b9d3cb20f247		0afc474d-fcd7-5958-a718-8a8d1da778e4	
synonym	4012588_dbGaP_subject_id	dbGaP_subject_id	4012588	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	9af978ed-cc82-5321-aaa1-20523585d571		d9d47228-bf1a-5a32-99fc-9eb126ec6db1	
synonym	4012584_dbGaP_subject_id	dbGaP_subject_id	4012584	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	9e3adf18-cb8a-5c9f-b9ea-8052e4684976		5a3fe970-14c0-5560-b105-372f12153444	
synonym	5363365_dbGaP_subject_id	dbGaP_subject_id	5363365	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	9f6d759d-a111-5c73-b73c-0db51d280e25			01b84251-e610-5bfa-a309-4ca0627dbdac
synonym	5363357_dbGaP_subject_id	dbGaP_subject_id	5363357	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	a11906c1-4873-5d41-9f2a-da8cc179c05e			150012ec-1ab1-5765-8dc2-bde280c09691
synonym	5363364_dbGaP_subject_id	dbGaP_subject_id	5363364	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	a295fe8c-6c13-5ff1-9cde-8f13fe5640a3			52770d2b-f43f-55bf-9a3b-46a1d4271826
synonym	5363348_dbGaP_subject_id	dbGaP_subject_id	5363348	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	a5523d23-7bae-580a-b51a-02063e30a7e1			c1573188-f154-5be4-bdd1-6c29fd3c7092
synonym	5363338_dbGaP_subject_id	dbGaP_subject_id	5363338	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	a5ce04e6-2eaa-582e-adc3-1200c642a380			ac8625ff-3ffc-5379-bda1-74c26c3a0b86
synonym	5363351_dbGaP_subject_id	dbGaP_subject_id	5363351	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	af1fbe89-58f3-5eaf-8fff-7c7f3ad68906			3613b978-6aae-51de-b85d-fe09401324c2
synonym	4012600_dbGaP_subject_id	dbGaP_subject_id	4012600	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	b4bcdef8-f8bd-521b-9022-f690ce2f91f2		17d80e7b-c01a-5605-a929-6aaf4ed2812e	
synonym	4012591_dbGaP_subject_id	dbGaP_subject_id	4012591	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	bd9b9c70-8459-5e97-b1ab-e8fd4e5c1bee		4fcf57a0-d583-5de2-80d4-62e55f7daf11	
synonym	4012582_dbGaP_subject_id	dbGaP_subject_id	4012582	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	c516f272-718c-5dcb-923a-4782ab738332		a2435b75-2bd6-5464-a251-d8bef74589f0	
synonym	5363343_dbGaP_subject_id	dbGaP_subject_id	5363343	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	c7b94d95-aa36-5015-898e-1a76ca7963b2			b7f6216c-b603-5561-8d5f-55896601d5e3
synonym	4012581_dbGaP_subject_id	dbGaP_subject_id	4012581	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	cafe0881-7a33-5b07-b3e8-4b608c0a15ae		6ae09bb9-4588-54b0-9235-2cb134600ef5	
