type	 case.case_id	demographic_id	breed	additional_breed_detail	patient_age_at_enrollment	date_of_birth	sex	weight	neutered_indicator
demographic	OSA02-T40B	OSA02-T40B	Great Dane		6.1	7/1/2011	Male	94	Yes
demographic	OSA02-T3C	OSA02-T3C	Anatolian Shepherd Dog		7.4	6/1/2008	Female	34.7	Yes
demographic	OSA02-T39A	OSA02-T39A	Mixed Breed		10	8/8/2007	Female	38.5	Yes
demographic	OSA02-T38C	OSA02-T38C	Mixed Breed		9.5	2/1/2008	Female	29.6	Yes
demographic	OSA02-T37B	OSA02-T37B	Bernese Mountain Dog		6.3	4/14/2011	Female	41.6	Yes
demographic	OSA02-T36B	OSA02-T36B	Greyhound		7.3	3/28/2010	Female	33.5	Yes
demographic	OSA02-T35C	OSA02-T35C	Great Pyrenees		7	6/15/2010	Male	45	Yes
demographic	OSA02-T34B	OSA02-T34B	Vizsla		7.4	10/1/2008	Female	26	Yes
demographic	OSA02-T32C	OSA02-T32C	Australian Cattle Dog		10.6	11/1/2007	Female	24	Yes
demographic	OSA02-T31B	OSA02-T31B	Border Collie		12.5	9/20/2004	Female	17.5	Yes
demographic	OSA02-T30A	OSA02-T30A	Doberman Pinscher		3.7	6/1/2013	Male	41.4	Yes
demographic	OSA02-T2C	OSA02-T2C	Labrador Retriever		8	10/8/2007	Female	38.4	Yes
demographic	OSA02-T27C	OSA02-T27C	Labrador Retriever		11.2	1/1/2006	Male	31.4	Yes
demographic	OSA02-T26B	OSA02-T26B	Golden Retriever		11	1/2/2006	Male	33.7	Yes
demographic	OSA02-T24D	OSA02-T24D	Mixed Breed		6	12/21/2010	Female	37.2	Yes
demographic	OSA02-T23B	OSA02-T23B	Labrador Retriever		10.4	5/22/2006	Male	35	Yes
demographic	OSA02-T22A	OSA02-T22A	Mixed Breed		5.8	12/20/2010	Female	33.6	Yes
demographic	OSA02-T21A	OSA02-T21A	Golden Retriever		10.3	7/4/2006	Male	28.3	Yes
demographic	OSA02-T20A	OSA02-T20A	Golden Retriever		13.1	8/25/2003	Female	24.6	Yes
demographic	OSA02-T1C	OSA02-T1C	Mixed Breed		4	9/29/2011	Female	38.5	Yes
demographic	OSA02-T19B	OSA02-T19B	Poodle		8.3	6/24/2008	Female	22.3	Yes
demographic	OSA02-T18B	OSA02-T18B	Other	Akbash	5.3	5/21/2011	Female	47.7	Yes
demographic	OSA02-T17B	OSA02-T17B	Mixed Breed		7.1	8/14/2009	Female	27.9	Yes
demographic	OSA02-T16B	OSA02-T16B	Newfoundland		5.5	4/8/2011	Male	64.4	Yes
demographic	OSA02-T15A	OSA02-T15A	German Shepherd Dog		10.6	1/11/2006	Female	38.5	Yes
demographic	OSA02-T14B	OSA02-T14B	Rottweiler		7.4	4/15/2009	Female	50	Yes
demographic	OSA02-T13C	OSA02-T13C	Mixed Breed		7.6	2/2/2009	Female	38	Yes
demographic	OSA02-T12A	OSA02-T12A	Labrador Retriever		11.6	1/1/2005	Female	29.6	Yes
demographic	OSA02-T11B	OSA02-T11B	Australian Shepherd		9.3	4/1/2007	Male	26	Yes
demographic	OSA02-T10A	OSA02-T10A	Belgian Tervuren		9	4/1/2007	Female	38.2	Yes
demographic	OSA02-T-29C	OSA02-T-29C	Mixed Breed		3.8	6/10/2013	Male	40	Yes
demographic	OSA02-T-25	OSA02-T-25	Mixed Breed		6.5	8/1/2010	Male	44.8	Yes
demographic	OSA02-N1	OSA02-N1	Labrador Retriever		13.3	6/15/1996	Female	26.6	Yes
demographic	OSA02-N2	OSA02-N2	Mixed Breed		10	9/29/1999	Male	31.6	Yes
demographic	OSA02-N3	OSA02-N3	Labrador Retriever		9.7	2/14/2000	Female	28.1	Yes
demographic	OSA02-N4	OSA02-N4	Siberian Husky		8.4	11/1/2001	Female	26.5	Yes
demographic	OSA02-N5	OSA02-N5	Labrador Retriever		10.1	1/1/2000	Female	38	Yes
demographic	OSA02-N8	OSA02-N8	Mixed Breed		6.5	9/1/2003	Male	40	Yes
demographic	OSA02-N9	OSA02-N9	Redbone Coonhound		8.9	5/24/2001	Female	22.4	Yes
demographic	OSA02-N10	OSA02-N10	Labrador Retriever		7.1	3/19/2003	Male	31.1	Yes
