type	sample_id	case.case_id	comment	crdc_id	date_of_sample_collection	general_sample_pathology	length_of_tumor	molecular_subtype	necropsy_sample	percentage_tumor	physical_sample_type	sample_chronology	sample_preservation	sample_site	specific_sample_pathology	summarized_sample_type	tumor_grade	tumor_sample_origin	volume_of_tumor	width_of_tumor
sample	COTC026-0929-T	COTC026-0929		31df38c7-ffb8-4613-9244-9bea1fa1fe24		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0930-T	COTC026-0930		4af15868-5d00-4d43-9913-6190094ceb0d		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0931-T	COTC026-0931		3bbb3c0b-98b3-426b-93bb-849440310537		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0932-T	COTC026-0932		6db48644-36ec-4736-8bda-ae0080139d8c		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0933-T	COTC026-0933		8800f567-6c47-4d2d-9008-e8d9d5aed6c4		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0935-T	COTC026-0935		828c8fa2-cfcc-4a83-80cc-71fc201c8ca1		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0936-T	COTC026-0936		49115a34-330f-4740-856c-e1741f357a12		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0937-T	COTC026-0937		1ad3dc69-4e79-4177-9788-1165f3854487		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1030-T	COTC026-1030		0e063ee7-96c9-47f1-982f-63e38ebddf66		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1031-T	COTC026-1031		8c5f9c10-a0c2-4cba-a9d1-4ab55f096458		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1033-T	COTC026-1033		d94591a2-2714-4f76-b69e-f15a36543a90		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1034-T	COTC026-1034		9cc8f255-f37a-4bc5-9155-3b3acafdab2b		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1035-T	COTC026-1035		7e12380d-fbda-4ff5-8a44-9fd6e7826d1e		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1036-T	COTC026-1036		e9907fd8-dc0a-451c-bc05-6ff6e8ecd1de		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1122-T	COTC026-1122		8aa80cb6-234d-4bf6-b1c9-cb398034a4ed		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1124-T	COTC026-1124		31492925-d74f-4740-b86d-dfa52c8782ee		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-1128-T	COTC026-1128		7633dcce-dd86-4705-acd5-4e9aee1ee7e6		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-2020-T	COTC026-2020		0c8e0e27-1bfc-4a1f-9ebd-d8e247cc306e		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-2021-T	COTC026-2021		73e308ca-2266-4385-8786-5d2cec546c9d		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-2022-T	COTC026-2022		0833b4b8-83ce-4258-a9ec-f78d8c1a8899		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-2023-T	COTC026-2023		36b87a15-078d-4c04-ae62-01a895783560		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-2024-T	COTC026-2024		6597c1d2-1a4c-4ac4-b329-647bb72bd79f		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-2334-T	COTC026-2334		3e9340ee-66b0-49a9-9635-91f5b6cee87a		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
